contact_id,first_name,last_name,email,phone_number,age_group,household,healthcare_worker,patient_id,contact_type,times_called,contact_call_status,contact_date,update_date,relationship,language,symptomatic,self_isolate,notes,isolated_from_patient
23,Trisha,Swearengin,ts@gmail.com,111-111-1123,ELDERLY,f,f,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
24,Tama,Claycomb,tc@gmail.com,111-111-1124,ELDERLY,f,f,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
25,Agripina,Tenny,at@gmail.com,111-111-1125,ELDERLY,t,t,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
26,Raleigh,Sancho,rs@gmail.com,111-111-1126,ADULT,t,f,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
27,Roxane,Gwinn,rg@gmail.com,111-111-1127,ELDERLY,t,f,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
28,Nannette,Harley,nh@gmail.com,111-111-1128,ADULT,f,t,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
29,Rodolfo,Tocco,rt@gmail.com,111-111-1129,ELDERLY,f,f,3,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
30,Avril,Derringer,ad@gmail.com,111-111-1130,MINOR,t,t,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
31,Ellie,Newbold,en@gmail.com,111-111-1131,ADULT,t,t,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
32,Rip,Joel,tlou@gmail.com,111-111-1132,ADULT,t,t,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
33,Ludivina,Duwe,ld@gmail.com,111-111-1133,ADULT,f,f,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
34,Louann,Neale,lon@gmail.com,111-111-1134,MINOR,f,t,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
35,Tobi,Stansell,tost@gmail.com,111-111-1135,ADULT,f,f,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
36,Deena,Bartsch,deb@gmail.com,111-111-1136,ADULT,t,f,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
37,Bradley,Mortimore,bm@gmail.com,111-111-1137,MINOR,t,t,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
38,Charlene,Albertini,ca@gmail.com,111-111-1138,ADULT,t,f,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
39,Clay,Wisniewski,cw@gmail.com,111-111-1139,ADULT,f,t,4,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
40,Margarete,Tung,mt@gmail.com,111-111-1140,ADULT,t,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
41,Gary,Philbrick,gp@gmail.com,111-111-1141,MINOR,f,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
42,Winifred,Heister,wh@gmail.com,111-111-1142,ELDERLY,t,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
43,Nichole,Upton,nu@gmail.com,111-111-1143,ADULT,f,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
44,Stella,Pickrell,sp@gmail.com,111-111-1144,ELDERLY,f,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
45,Clemmie,Franz,cf@gmail.com,111-111-1145,ELDERLY,f,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
46,Chelsea,Risch,cr@gmail.com,111-111-1146,MINOR,t,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
47,Libby,Hansen,lh@gmail.com,111-111-1147,MINOR,t,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
48,Wynona,Khan,wk@gmail.com,111-111-1148,ADULT,t,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
49,Dina,Pugsley,dip@gmail.com,111-111-1149,ADULT,f,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
50,Candice,Wagers,cawa@gmail.com,111-111-1150,ADULT,t,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
51,Vashti,Weisel,vw@gmail.com,111-111-1151,ADULT,t,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
52,Ayesha,Noriega,an@gmail.com,111-111-1152,ELDERLY,t,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
53,Magdalen,Parada,mp@gmail.com,111-111-1153,ELDERLY,f,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
54,Rosemarie,Arnold,ra@gmail.com,111-111-1154,ADULT,t,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
55,Shelton,Odoms,so@gmail.com,111-111-1155,ELDERLY,f,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
56,Etta,Domingues,etd@gmail.com,111-111-1156,ADULT,f,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
57,Gladis,Moises,gm@gmail.com,111-111-1157,MINOR,t,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
58,Karl,Bank,kb@gmail.com,111-111-1158,ELDERLY,f,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
59,Lori,Kennedy,lk@gmail.com,111-111-1159,ADULT,f,t,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
60,Jane,Sweitzer,js@gmail.com,111-111-1160,ELDERLY,f,f,5,MINIMAL,0,HAVE_NOT_NOTIFIED_YET,2/8/20 1:42,2/8/20 1:42,FRIEND,ENGLISH,NO_SYMPTOMS,NO,not called yet,t
